instant,dteday,season,yr,mnth,temp,hum,registered,cnt
405,2012-02-09,Spring,1,Feb,0.265,0.562083,3667,3830
406,2012-02-10,Spring,1,Feb,0.280833,0.54,3604,3831
407,2012-02-11,Spring,1,Feb,0.224167,0.73125,1977,2169
408,2012-02-12,Spring,1,Feb,0.1275,0.464583,1456,1529
409,2012-02-13,Spring,1,Feb,0.2225,0.41125,3328,3422
410,2012-02-14,Spring,1,Feb,0.319167,0.50875,3787,3922
411,2012-02-15,Spring,1,Feb,0.348333,0.53125,4028,4169
412,2012-02-16,Spring,1,Feb,0.316667,0.752917,2931,3005
413,2012-02-17,Spring,1,Feb,0.343333,0.634583,3805,4154
414,2012-02-18,Spring,1,Feb,0.346667,0.534583,2883,4318
415,2012-02-19,Spring,1,Feb,0.28,0.515833,2071,2689
416,2012-02-20,Spring,1,Feb,0.28,0.507826,2627,3129
417,2012-02-21,Spring,1,Feb,0.287826,0.594348,3614,3777
418,2012-02-22,Spring,1,Feb,0.395833,0.567917,4379,4773
419,2012-02-23,Spring,1,Feb,0.454167,0.554583,4546,5062
420,2012-02-24,Spring,1,Feb,0.4075,0.7375,3241,3487
421,2012-02-25,Spring,1,Feb,0.290833,0.395833,2415,2732
422,2012-02-26,Spring,1,Feb,0.279167,0.41,2874,3389
423,2012-02-27,Spring,1,Feb,0.366667,0.490833,4069,4322
424,2012-02-28,Spring,1,Feb,0.359167,0.395833,4134,4363
425,2012-02-29,Spring,1,Feb,0.344348,0.804783,1769,1834
426,2012-03-01,Spring,1,Mar,0.485833,0.615417,4665,4990
427,2012-03-02,Spring,1,Mar,0.353333,0.657083,2948,3194
428,2012-03-03,Spring,1,Mar,0.414167,0.62125,3110,4066
429,2012-03-04,Spring,1,Mar,0.325833,0.403333,2713,3423
430,2012-03-05,Spring,1,Mar,0.243333,0.50625,3130,3333
431,2012-03-06,Spring,1,Mar,0.258333,0.456667,3735,3956
432,2012-03-07,Spring,1,Mar,0.404167,0.513333,4484,4916
433,2012-03-08,Spring,1,Mar,0.5275,0.5675,4896,5382
434,2012-03-09,Spring,1,Mar,0.410833,0.407083,4122,4569
435,2012-03-10,Spring,1,Mar,0.2875,0.350417,3150,4118
436,2012-03-11,Spring,1,Mar,0.361739,0.476957,3253,4911
437,2012-03-12,Spring,1,Mar,0.466667,0.489167,4460,5298
438,2012-03-13,Spring,1,Mar,0.565,0.6175,5085,5847
439,2012-03-14,Spring,1,Mar,0.5725,0.507083,5315,6312
440,2012-03-15,Spring,1,Mar,0.5575,0.579583,5187,6192
441,2012-03-16,Spring,1,Mar,0.435833,0.842083,3830,4378
442,2012-03-17,Spring,1,Mar,0.514167,0.755833,4681,7836
443,2012-03-18,Spring,1,Mar,0.4725,0.81,3685,5892
444,2012-03-19,Spring,1,Mar,0.545,0.72875,5171,6153
445,2012-03-20,Spring,1,Mar,0.560833,0.807917,5042,6093
446,2012-03-21,Summer,1,Mar,0.531667,0.82125,5108,6230
447,2012-03-22,Summer,1,Mar,0.554167,0.83125,5537,6871
448,2012-03-23,Summer,1,Mar,0.601667,0.694167,5893,8362
449,2012-03-24,Summer,1,Mar,0.5025,0.885417,2339,3372
450,2012-03-25,Summer,1,Mar,0.4375,0.880833,3464,4996
451,2012-03-26,Summer,1,Mar,0.445833,0.477917,4763,5558
452,2012-03-27,Summer,1,Mar,0.323333,0.29,4571,5102
453,2012-03-28,Summer,1,Mar,0.484167,0.48125,5024,5698
454,2012-03-29,Summer,1,Mar,0.494167,0.439167,5299,6133
455,2012-03-30,Summer,1,Mar,0.37,0.580833,4663,5459
456,2012-03-31,Summer,1,Mar,0.424167,0.738333,3934,6235
457,2012-04-01,Summer,1,Apr,0.425833,0.67625,3694,6041
458,2012-04-02,Summer,1,Apr,0.433913,0.504348,4728,5936
459,2012-04-03,Summer,1,Apr,0.466667,0.396667,5424,6772
460,2012-04-04,Summer,1,Apr,0.541667,0.469583,5378,6436
461,2012-04-05,Summer,1,Apr,0.435,0.374167,5265,6457
462,2012-04-06,Summer,1,Apr,0.403333,0.377083,4653,6460
463,2012-04-07,Summer,1,Apr,0.4375,0.254167,3605,6857
464,2012-04-08,Summer,1,Apr,0.5,0.275833,2939,5169
465,2012-04-09,Summer,1,Apr,0.489167,0.3175,4680,5585
466,2012-04-10,Summer,1,Apr,0.446667,0.435,5099,5918
467,2012-04-11,Summer,1,Apr,0.348696,0.469565,4380,4862
468,2012-04-12,Summer,1,Apr,0.3975,0.46625,4746,5409
469,2012-04-13,Summer,1,Apr,0.4425,0.408333,5146,6398
470,2012-04-14,Summer,1,Apr,0.495,0.502917,4665,7460
471,2012-04-15,Summer,1,Apr,0.606667,0.507917,4286,7132
472,2012-04-16,Summer,1,Apr,0.664167,0.561667,5172,6370
473,2012-04-17,Summer,1,Apr,0.608333,0.390417,5702,6691
474,2012-04-18,Summer,1,Apr,0.463333,0.569167,4020,4367
475,2012-04-19,Summer,1,Apr,0.498333,0.6125,5719,6565
476,2012-04-20,Summer,1,Apr,0.526667,0.694583,5950,7290
477,2012-04-21,Summer,1,Apr,0.57,0.682917,4083,6624
478,2012-04-22,Summer,1,Apr,0.396667,0.835417,907,1027
479,2012-04-23,Summer,1,Apr,0.321667,0.766667,3019,3214
480,2012-04-24,Summer,1,Apr,0.413333,0.454167,5115,5633
481,2012-04-25,Summer,1,Apr,0.476667,0.427917,5541,6196
482,2012-04-26,Summer,1,Apr,0.498333,0.756667,4551,5026
483,2012-04-27,Summer,1,Apr,0.4575,0.400833,5219,6233
484,2012-04-28,Summer,1,Apr,0.376667,0.489583,3100,4220
485,2012-04-29,Summer,1,Apr,0.458333,0.587083,4075,6304
486,2012-04-30,Summer,1,Apr,0.464167,0.57,4907,5572
487,2012-05-01,Summer,1,May,0.613333,0.659583,5087,5740
488,2012-05-02,Summer,1,May,0.564167,0.797083,5502,6169
489,2012-05-03,Summer,1,May,0.56,0.768333,5657,6421
490,2012-05-04,Summer,1,May,0.6275,0.735417,5227,6296
491,2012-05-05,Summer,1,May,0.621667,0.756667,4387,6883
492,2012-05-06,Summer,1,May,0.5625,0.74,4224,6359
493,2012-05-07,Summer,1,May,0.5375,0.664167,5265,6273
494,2012-05-08,Summer,1,May,0.581667,0.685833,4990,5728
495,2012-05-09,Summer,1,May,0.575,0.744167,4097,4717
496,2012-05-10,Summer,1,May,0.505833,0.552083,5546,6572
497,2012-05-11,Summer,1,May,0.533333,0.360417,5711,7030
498,2012-05-12,Summer,1,May,0.564167,0.480417,4807,7429
499,2012-05-13,Summer,1,May,0.6125,0.57625,3946,6118
500,2012-05-14,Summer,1,May,0.573333,0.789583,2501,2843
501,2012-05-15,Summer,1,May,0.611667,0.794583,4490,5115
502,2012-05-16,Summer,1,May,0.636667,0.697917,6433,7424
503,2012-05-17,Summer,1,May,0.593333,0.52,6142,7384
504,2012-05-18,Summer,1,May,0.564167,0.523333,6118,7639
505,2012-05-19,Summer,1,May,0.6,0.45625,4884,8294
506,2012-05-20,Summer,1,May,0.620833,0.530417,4425,7129
507,2012-05-21,Summer,1,May,0.598333,0.81125,3729,4359
508,2012-05-22,Summer,1,May,0.615,0.765833,5254,6073
509,2012-05-23,Summer,1,May,0.621667,0.774583,4494,5260
510,2012-05-24,Summer,1,May,0.655,0.716667,5711,6770
511,2012-05-25,Summer,1,May,0.68,0.747083,5317,6734
512,2012-05-26,Summer,1,May,0.6925,0.7325,3681,6536
513,2012-05-27,Summer,1,May,0.69,0.697083,3308,6591
514,2012-05-28,Summer,1,May,0.7125,0.67625,3486,6043
515,2012-05-29,Summer,1,May,0.7225,0.684583,4863,5743
516,2012-05-30,Summer,1,May,0.656667,0.67,6110,6855
517,2012-05-31,Summer,1,May,0.68,0.492917,6238,7338
518,2012-06-01,Summer,1,Jun,0.654167,0.755417,3594,4127
519,2012-06-02,Summer,1,Jun,0.583333,0.549167,5325,8120
520,2012-06-03,Summer,1,Jun,0.6025,0.493333,5147,7641
521,2012-06-04,Summer,1,Jun,0.5975,0.487083,5927,6998
522,2012-06-05,Summer,1,Jun,0.540833,0.613333,6033,7001
523,2012-06-06,Summer,1,Jun,0.554167,0.61125,6028,7055
524,2012-06-07,Summer,1,Jun,0.6025,0.567083,6456,7494
525,2012-06-08,Summer,1,Jun,0.649167,0.467917,6248,7736
526,2012-06-09,Summer,1,Jun,0.710833,0.437083,4790,7498
527,2012-06-10,Summer,1,Jun,0.726667,0.538333,4374,6598
528,2012-06-11,Summer,1,Jun,0.720833,0.587917,5647,6664
529,2012-06-12,Summer,1,Jun,0.653333,0.833333,4495,4972
530,2012-06-13,Summer,1,Jun,0.655833,0.582083,6248,7421
531,2012-06-14,Summer,1,Jun,0.648333,0.569583,6183,7363
532,2012-06-15,Summer,1,Jun,0.639167,0.589583,6102,7665
533,2012-06-16,Summer,1,Jun,0.631667,0.504167,4739,7702
534,2012-06-17,Summer,1,Jun,0.5925,0.59875,4344,6978
535,2012-06-18,Summer,1,Jun,0.568333,0.777917,4446,5099
536,2012-06-19,Summer,1,Jun,0.688333,0.69,5857,6825
537,2012-06-20,Summer,1,Jun,0.7825,0.592083,5339,6211
538,2012-06-21,Fall,1,Jun,0.805833,0.567917,5127,5905
539,2012-06-22,Fall,1,Jun,0.7775,0.57375,4859,5823
540,2012-06-23,Fall,1,Jun,0.731667,0.534583,4801,7458
541,2012-06-24,Fall,1,Jun,0.743333,0.479167,4340,6891
542,2012-06-25,Fall,1,Jun,0.715833,0.504167,5640,6779
543,2012-06-26,Fall,1,Jun,0.630833,0.373333,6365,7442
544,2012-06-27,Fall,1,Jun,0.6975,0.36,6258,7335
545,2012-06-28,Fall,1,Jun,0.749167,0.4225,5958,6879
546,2012-06-29,Fall,1,Jun,0.834167,0.48875,4634,5463
547,2012-06-30,Fall,1,Jun,0.765,0.60125,4232,5687
548,2012-07-01,Fall,1,Jul,0.815833,0.51875,4110,5531
549,2012-07-02,Fall,1,Jul,0.781667,0.447083,5323,6227
550,2012-07-03,Fall,1,Jul,0.780833,0.492083,5608,6660
551,2012-07-04,Fall,1,Jul,0.789167,0.53875,4841,7403
552,2012-07-05,Fall,1,Jul,0.8275,0.457917,4836,6241
553,2012-07-06,Fall,1,Jul,0.828333,0.450833,4841,6207
554,2012-07-07,Fall,1,Jul,0.861667,0.492083,3392,4840
555,2012-07-08,Fall,1,Jul,0.8225,0.57375,3469,4672
556,2012-07-09,Fall,1,Jul,0.710833,0.683333,5571,6569
557,2012-07-10,Fall,1,Jul,0.720833,0.6675,5336,6290
558,2012-07-11,Fall,1,Jul,0.716667,0.633333,6289,7264
559,2012-07-12,Fall,1,Jul,0.715833,0.529583,6414,7446
560,2012-07-13,Fall,1,Jul,0.731667,0.485833,5988,7499
561,2012-07-14,Fall,1,Jul,0.703333,0.699167,4614,6969
562,2012-07-15,Fall,1,Jul,0.745833,0.717917,4111,6031
563,2012-07-16,Fall,1,Jul,0.763333,0.645,5742,6830
564,2012-07-17,Fall,1,Jul,0.818333,0.505833,5865,6786
565,2012-07-18,Fall,1,Jul,0.793333,0.577083,4914,5713
566,2012-07-19,Fall,1,Jul,0.77,0.600417,5703,6591
567,2012-07-20,Fall,1,Jul,0.665833,0.844167,5123,5870
568,2012-07-21,Fall,1,Jul,0.595833,0.865417,3195,4459
569,2012-07-22,Fall,1,Jul,0.6675,0.7625,4866,7410
570,2012-07-23,Fall,1,Jul,0.741667,0.694167,5831,6966
571,2012-07-24,Fall,1,Jul,0.750833,0.655,6452,7592
572,2012-07-25,Fall,1,Jul,0.724167,0.45,6790,8173
573,2012-07-26,Fall,1,Jul,0.776667,0.596667,5825,6861
574,2012-07-27,Fall,1,Jul,0.781667,0.594583,5645,6904
575,2012-07-28,Fall,1,Jul,0.755833,0.613333,4451,6685
576,2012-07-29,Fall,1,Jul,0.721667,0.62375,4444,6597
577,2012-07-30,Fall,1,Jul,0.730833,0.66875,6065,7105
578,2012-07-31,Fall,1,Jul,0.713333,0.704167,6248,7216
579,2012-08-01,Fall,1,Aug,0.7175,0.6775,6506,7580
580,2012-08-02,Fall,1,Aug,0.7525,0.659583,6278,7261
581,2012-08-03,Fall,1,Aug,0.765833,0.6425,5847,7175
582,2012-08-04,Fall,1,Aug,0.793333,0.613333,4479,6824
583,2012-08-05,Fall,1,Aug,0.769167,0.6525,3757,5464
584,2012-08-06,Fall,1,Aug,0.7525,0.654167,5780,7013
585,2012-08-07,Fall,1,Aug,0.735833,0.70375,5995,7273
586,2012-08-08,Fall,1,Aug,0.75,0.672917,6271,7534
587,2012-08-09,Fall,1,Aug,0.755833,0.620417,6090,7286
588,2012-08-10,Fall,1,Aug,0.715833,0.715833,4721,5786
589,2012-08-11,Fall,1,Aug,0.6925,0.732917,4052,6299
590,2012-08-12,Fall,1,Aug,0.700833,0.530417,4362,6544
591,2012-08-13,Fall,1,Aug,0.720833,0.545417,5676,6883
592,2012-08-14,Fall,1,Aug,0.726667,0.686667,5656,6784
593,2012-08-15,Fall,1,Aug,0.706667,0.619583,6149,7347
594,2012-08-16,Fall,1,Aug,0.719167,0.519167,6267,7605
595,2012-08-17,Fall,1,Aug,0.723333,0.570833,5665,7148
596,2012-08-18,Fall,1,Aug,0.678333,0.603333,5038,7865
597,2012-08-19,Fall,1,Aug,0.635833,0.711667,3341,4549
598,2012-08-20,Fall,1,Aug,0.635833,0.734167,5504,6530
599,2012-08-21,Fall,1,Aug,0.649167,0.67375,5925,7006
600,2012-08-22,Fall,1,Aug,0.6675,0.677083,6281,7375
601,2012-08-23,Fall,1,Aug,0.695833,0.635833,6402,7765
602,2012-08-24,Fall,1,Aug,0.7025,0.615,6257,7582
603,2012-08-25,Fall,1,Aug,0.661667,0.712917,4224,6053
604,2012-08-26,Fall,1,Aug,0.653333,0.845833,3772,5255
605,2012-08-27,Fall,1,Aug,0.703333,0.730417,5928,6917
606,2012-08-28,Fall,1,Aug,0.728333,0.62,6105,7040
607,2012-08-29,Fall,1,Aug,0.685,0.552083,6520,7697
608,2012-08-30,Fall,1,Aug,0.706667,0.590417,6541,7713
609,2012-08-31,Fall,1,Aug,0.764167,0.5875,5917,7350
610,2012-09-01,Fall,1,Sep,0.753333,0.638333,3788,6140
611,2012-09-02,Fall,1,Sep,0.696667,0.815,3197,5810
612,2012-09-03,Fall,1,Sep,0.7075,0.790833,4069,6034
613,2012-09-04,Fall,1,Sep,0.725833,0.755,5997,6864
614,2012-09-05,Fall,1,Sep,0.736667,0.74125,6280,7112
615,2012-09-06,Fall,1,Sep,0.696667,0.810417,5592,6203
616,2012-09-07,Fall,1,Sep,0.703333,0.73625,6459,7504
617,2012-09-08,Fall,1,Sep,0.659167,0.799167,4419,5976
618,2012-09-09,Fall,1,Sep,0.61,0.5475,5657,8227
619,2012-09-10,Fall,1,Sep,0.583333,0.50375,6407,7525
620,2012-09-11,Fall,1,Sep,0.5775,0.52,6697,7767
621,2012-09-12,Fall,1,Sep,0.599167,0.577083,6820,7870
622,2012-09-13,Fall,1,Sep,0.6125,0.637083,6750,7804
623,2012-09-14,Fall,1,Sep,0.633333,0.6725,6630,8009
624,2012-09-15,Fall,1,Sep,0.608333,0.501667,5554,8714
625,2012-09-16,Fall,1,Sep,0.58,0.57,5167,7333
626,2012-09-17,Fall,1,Sep,0.580833,0.734583,5847,6869
627,2012-09-18,Fall,1,Sep,0.623333,0.8725,3702,4073
628,2012-09-19,Fall,1,Sep,0.5525,0.536667,6803,7591
629,2012-09-20,Fall,1,Sep,0.546667,0.618333,6781,7720
630,2012-09-21,Fall,1,Sep,0.599167,0.66875,6917,8167
631,2012-09-22,Fall,1,Sep,0.65,0.646667,5883,8395
632,2012-09-23,Winter,1,Sep,0.529167,0.467083,5453,7907
633,2012-09-24,Winter,1,Sep,0.514167,0.492917,6435,7436
634,2012-09-25,Winter,1,Sep,0.55,0.57,6693,7538
635,2012-09-26,Winter,1,Sep,0.635,0.630833,6946,7733
636,2012-09-27,Winter,1,Sep,0.65,0.690833,6642,7393
637,2012-09-28,Winter,1,Sep,0.619167,0.69,6370,7415
638,2012-09-29,Winter,1,Sep,0.5425,0.542917,5966,8555
639,2012-09-30,Winter,1,Sep,0.526667,0.583333,4874,6889
640,2012-10-01,Winter,1,Oct,0.520833,0.649167,6015,6778
641,2012-10-02,Winter,1,Oct,0.590833,0.871667,4324,4639
642,2012-10-03,Winter,1,Oct,0.6575,0.79375,6844,7572
643,2012-10-04,Winter,1,Oct,0.6575,0.722917,6437,7328
644,2012-10-05,Winter,1,Oct,0.615,0.6275,6640,8156
645,2012-10-06,Winter,1,Oct,0.554167,0.664167,4934,7965
646,2012-10-07,Winter,1,Oct,0.415833,0.708333,2729,3510
647,2012-10-08,Winter,1,Oct,0.383333,0.709583,4604,5478
648,2012-10-09,Winter,1,Oct,0.446667,0.761667,5791,6392
649,2012-10-10,Winter,1,Oct,0.514167,0.630833,6911,7691
650,2012-10-11,Winter,1,Oct,0.435,0.463333,6736,7570
651,2012-10-12,Winter,1,Oct,0.4375,0.539167,6222,7282
652,2012-10-13,Winter,1,Oct,0.393333,0.494583,4857,7109
653,2012-10-14,Winter,1,Oct,0.521667,0.640417,4559,6639
654,2012-10-15,Winter,1,Oct,0.561667,0.7075,5115,5875
655,2012-10-16,Winter,1,Oct,0.468333,0.558333,6612,7534
656,2012-10-17,Winter,1,Oct,0.455833,0.692917,6482,7461
657,2012-10-18,Winter,1,Oct,0.5225,0.728333,6501,7509
658,2012-10-19,Winter,1,Oct,0.563333,0.815,4671,5424
659,2012-10-20,Winter,1,Oct,0.484167,0.572917,5284,8090
660,2012-10-21,Winter,1,Oct,0.464167,0.51,4692,6824
661,2012-10-22,Winter,1,Oct,0.4875,0.568333,6228,7058
662,2012-10-23,Winter,1,Oct,0.544167,0.641667,6625,7466
663,2012-10-24,Winter,1,Oct,0.5875,0.63625,6898,7693
664,2012-10-25,Winter,1,Oct,0.55,0.800417,6484,7359
665,2012-10-26,Winter,1,Oct,0.545833,0.807083,6262,7444
666,2012-10-27,Winter,1,Oct,0.53,0.72,5209,7852
667,2012-10-28,Winter,1,Oct,0.4775,0.694583,3461,4459
668,2012-10-29,Winter,1,Oct,0.44,0.88,20,22
669,2012-10-30,Winter,1,Oct,0.318182,0.825455,1009,1096
670,2012-10-31,Winter,1,Oct,0.3575,0.666667,5147,5566
671,2012-11-01,Winter,1,Nov,0.365833,0.581667,5520,5986
672,2012-11-02,Winter,1,Nov,0.355,0.522083,5229,5847
673,2012-11-03,Winter,1,Nov,0.343333,0.49125,4109,5138
674,2012-11-04,Winter,1,Nov,0.325833,0.532917,3906,5107
675,2012-11-05,Winter,1,Nov,0.319167,0.494167,4881,5259
676,2012-11-06,Winter,1,Nov,0.280833,0.567083,5220,5686
677,2012-11-07,Winter,1,Nov,0.295833,0.5475,4709,5035
678,2012-11-08,Winter,1,Nov,0.352174,0.333478,4975,5315
679,2012-11-09,Winter,1,Nov,0.361667,0.540833,5283,5992
680,2012-11-10,Winter,1,Nov,0.389167,0.645417,4446,6536
681,2012-11-11,Winter,1,Nov,0.420833,0.659167,4562,6852
682,2012-11-12,Winter,1,Nov,0.485,0.741667,5172,6269
683,2012-11-13,Winter,1,Nov,0.343333,0.662917,3767,4094
684,2012-11-14,Winter,1,Nov,0.289167,0.552083,5122,5495
685,2012-11-15,Winter,1,Nov,0.321667,0.620417,5125,5445
686,2012-11-16,Winter,1,Nov,0.345,0.524583,5214,5698
687,2012-11-17,Winter,1,Nov,0.325,0.545417,4316,5629
688,2012-11-18,Winter,1,Nov,0.3425,0.692917,3747,4669
689,2012-11-19,Winter,1,Nov,0.380833,0.623333,5050,5499
690,2012-11-20,Winter,1,Nov,0.374167,0.685,5100,5634
691,2012-11-21,Winter,1,Nov,0.353333,0.61375,4531,5146
692,2012-11-22,Winter,1,Nov,0.34,0.580417,1470,2425
693,2012-11-23,Winter,1,Nov,0.368333,0.56875,2307,3910
694,2012-11-24,Winter,1,Nov,0.278333,0.404583,1745,2277
695,2012-11-25,Winter,1,Nov,0.245833,0.468333,2115,2424
696,2012-11-26,Winter,1,Nov,0.313333,0.535417,4750,5087
697,2012-11-27,Winter,1,Nov,0.291667,0.786667,3836,3959
698,2012-11-28,Winter,1,Nov,0.296667,0.50625,5062,5260
699,2012-11-29,Winter,1,Nov,0.28087,0.555652,5080,5323
700,2012-11-30,Winter,1,Nov,0.298333,0.649583,5306,5668
701,2012-12-01,Winter,1,Dec,0.298333,0.806667,4240,5191
702,2012-12-02,Winter,1,Dec,0.3475,0.823333,3757,4649
703,2012-12-03,Winter,1,Dec,0.4525,0.7675,5679,6234
704,2012-12-04,Winter,1,Dec,0.475833,0.73375,6055,6606
705,2012-12-05,Winter,1,Dec,0.438333,0.485,5398,5729
706,2012-12-06,Winter,1,Dec,0.255833,0.50875,5035,5375
707,2012-12-07,Winter,1,Dec,0.320833,0.764167,4659,5008
708,2012-12-08,Winter,1,Dec,0.381667,0.91125,4429,5582
709,2012-12-09,Winter,1,Dec,0.384167,0.905417,2787,3228
710,2012-12-10,Winter,1,Dec,0.435833,0.925,4841,5170
711,2012-12-11,Winter,1,Dec,0.353333,0.596667,5219,5501
712,2012-12-12,Winter,1,Dec,0.2975,0.538333,5009,5319
713,2012-12-13,Winter,1,Dec,0.295833,0.485833,5107,5532
714,2012-12-14,Winter,1,Dec,0.281667,0.642917,5182,5611
715,2012-12-15,Winter,1,Dec,0.324167,0.650417,4280,5047
716,2012-12-16,Winter,1,Dec,0.3625,0.83875,3248,3786
717,2012-12-17,Winter,1,Dec,0.393333,0.907083,4373,4585
718,2012-12-18,Winter,1,Dec,0.410833,0.66625,5124,5557
719,2012-12-19,Winter,1,Dec,0.3325,0.625417,4934,5267
720,2012-12-20,Winter,1,Dec,0.33,0.667917,3814,4128
721,2012-12-21,Spring,1,Dec,0.326667,0.556667,3402,3623
722,2012-12-22,Spring,1,Dec,0.265833,0.44125,1544,1749
723,2012-12-23,Spring,1,Dec,0.245833,0.515417,1379,1787
724,2012-12-24,Spring,1,Dec,0.231304,0.791304,746,920
725,2012-12-25,Spring,1,Dec,0.291304,0.734783,573,1013
726,2012-12-26,Spring,1,Dec,0.243333,0.823333,432,441
727,2012-12-27,Spring,1,Dec,0.254167,0.652917,1867,2114
728,2012-12-28,Spring,1,Dec,0.253333,0.59,2451,3095
729,2012-12-29,Spring,1,Dec,0.253333,0.752917,1182,1341
730,2012-12-30,Spring,1,Dec,0.255833,0.483333,1432,1796
731,2012-12-31,Spring,1,Dec,0.215833,0.5775,2290,2729
